0,1,2,3,4
cyto_10,0.884297521,0.461538462,0.666666667,0.352941176
cyto_5,0.834710744,0.333333333,0.384615385,0.294117647
cyto_8,0.892561983,0.518518519,0.7,0.411764706
d5_gauss_01,0.96,0.857142857,1,0.75
d5_gauss_02,1,1,1,1
d5_gauss_03,0.92,0.666666667,0.666666667,0.666666667
d5_nonGauss_01,1,1,1,1
d5_nonGauss_02,1,1,1,1
d5_nonGauss_03,1,1,1,1
d5_nonGauss_hidden_01,0.84,0.6,0.5,0.75
d5_nonGauss_hidden_02,0.92,0.666666667,0.5,1
d5_nonGauss_hidden_03,0.92,0.75,0.75,0.75
,,,,
gaussian_01,0.979166667,0.95890411,0.921052632,1
gaussian_02,0.923611111,0.864197531,0.921052632,0.813953488
gaussian_03,0.9375,0.861538462,0.756756757,1
gaussian_04,0.930555556,0.848484848,0.903225806,0.8
gaussian_diff_var,0.631944444,0.208955224,0.152173913,0.333333333
gaussian_same_var,0.625,0.15625,0.113636364,0.25
hd_g01,0.930555556,0.814814815,0.916666667,0.733333333
hd_g02,0.951388889,0.895522388,0.833333333,0.967741935
hd_g03,0.9375,0.847457627,0.862068966,0.833333333
hd_g04,0.951388889,0.892307692,0.966666667,0.828571429
,,,,
hiddenVariables_01,0.840277778,0.716049383,0.617021277,0.852941176
hiddenVariables_02,0.888888889,0.8,0.711111111,0.914285714
hiddenVariables_03,0.895833333,0.805194805,0.756097561,0.861111111
hiddenVariables_04,0.861111111,0.722222222,0.65,0.8125
lingam_diff_var,0.645833333,0,0,0
lingam_same_var,0.611111111,0,0,0